NELE,lon,lat,Area_m2
590,-83.11471253,41.81133397,1779854.7
591,-83.1046638,41.81371996,2014994.3
592,-83.09729353,41.80865584,1837051.2
593,-83.0856833,41.8129954,1915966.7
594,-83.0774308,41.80855694,2486193.1
595,-83.065487,41.8110979,2531831.4
596,-83.06163037,41.819647,2556178.6
597,-83.04967487,41.82103316,2305947.5
598,-83.04791573,41.83021928,2354021.5
599,-83.0381442,41.83216294,2367325.2
600,-83.0284995,41.82455485,2322810.3
601,-83.01854243,41.82666862,2367133.9
602,-83.00867497,41.81944387,2364329.8
603,-82.99852237,41.82188434,2402465.9
604,-82.988812,41.81509216,2283826
605,-82.97840063,41.8178118,2489870
606,-82.97723693,41.82697427,2402790.2
607,-82.96624127,41.82995092,2451522.7
608,-82.9568013,41.82534642,1972821.6
609,-82.94634907,41.82854211,1594128.9
610,-82.93689123,41.82372427,1665201.3
611,-82.9270526,41.82680271,1768818.8
612,-82.91763007,41.82384126,1807711.2
613,-82.90643007,41.82793271,2066169.7
614,-82.90838753,41.83533629,2477902.7
615,-82.90047647,41.83979662,2188972.5
616,-82.90577017,41.84841636,2156600.3
617,-82.8969584,41.85286182,2221360.3
618,-82.89928833,41.86147742,2492764.8
619,-82.88938667,41.86611964,2547281.1
620,-82.8909481,41.8754519,2528543.2
621,-82.88046757,41.88054239,2640608.4
622,-82.86914907,41.87642318,2552229
623,-82.8585613,41.882046,2667163
624,-82.8592938,41.89165486,2657337.9
625,-82.84861237,41.89764688,2755012.9
626,-82.83716813,41.89414474,2677082.2
627,-82.82640427,41.90058843,2768038.2
628,-82.8273663,41.91041549,2783011.9
629,-82.8168288,41.91719324,2875306.9
630,-82.81876363,41.92706126,2876170.5
631,-82.8086964,41.93411701,2974825.1
632,-82.81015517,41.94424664,2957106.9
633,-82.79898487,41.95194197,3034935.6
634,-82.79942817,41.962451,3001926.7
635,-82.78834667,41.9706494,3069828.8
636,-82.79019617,41.98097394,3040438.6
637,-82.78062007,41.98927797,3099239.4
638,-82.7830163,41.99964007,3073454.8
639,-82.7727964,42.00856539,3086486.8
640,-83.33274167,41.88795184,2920323.2
641,-83.33236913,41.87853049,2062905
642,-83.32247037,41.87436768,2387261.9
643,-83.32408183,41.86589663,1969400.6
644,-83.3160828,41.86023515,2020646.1
645,-83.3060789,41.86229415,1955135.9
646,-83.2996376,41.85542423,1989867.4
647,-83.29023713,41.85726636,1964492.5
648,-83.28416847,41.85003383,1976536.5
649,-83.27481047,41.85188086,1975534.7
650,-83.26859483,41.84467949,1986882.6
651,-83.259074,41.84653219,2000289.4
652,-83.25608267,41.85576142,2071269.7
653,-83.2464012,41.85758971,2181852
654,-83.2390319,41.85074203,2052867.7
655,-83.2280989,41.85293442,2189921
656,-83.22026617,41.84713898,1901409.4
657,-83.20908773,41.84864386,1899348.9
658,-83.2036353,41.84098446,2025011.2
659,-83.19364773,41.84087892,2284092.5
660,-83.18863647,41.83291728,2367750.3
661,-83.1775297,41.83381991,2120228.9
662,-83.17241417,41.8259456,2129339.1
663,-83.16214977,41.82652827,2159485.2
664,-83.15691747,41.81878572,2089805.3
665,-83.14560633,41.81978019,2336208.9
666,-83.14101203,41.81230714,2037907.8
667,-83.1319287,41.81140234,1730715.1
668,-83.13021237,41.80199296,1714785.1
669,-83.1205584,41.80221084,2133165.8
